,id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
25845,15275530,Two bedroom basement apartment!,40925131595,unconfirmed,Maimi,Brooklyn,East Flatbush,40.66047,-73.93743,United States,US,True,moderate,Private room,2006.0,"$1,140 ",$228 ,3.0,0.0,,,4.0,2.0,0.0,,
2794,2544462,Great  studio with 2 rooms and kitchen,15372849559,unconfirmed,Alex,Brooklyn,Sheepshead Bay,40.58426,-73.95949,United States,US,False,flexible,Entire home/apt,2018.0,$150 ,$30 ,3.0,66.0,5/27/2019,1.05,3.0,5.0,424.0,There are no towels included,
5241,3895940,1 Bed Apt in Greenpoint Brooklyn,71928034164,verified,Tim,Brooklyn,Greenpoint,40.72793,-73.95011,United States,US,False,flexible,Entire home/apt,2004.0,$417 ,$83 ,1.0,2.0,6/18/2015,0.03,4.0,1.0,196.0,- Guests are expected to keep the house clean and maintain noise level relatively low after 10PM,
38518,22274827,Spacious Studio Home in Landmark Townhouse,35973225933,verified,Robert,Manhattan,Upper West Side,40.80177,-73.9693,United States,US,False,flexible,Entire home/apt,2018.0,"$1,085 ",$217 ,3.0,15.0,6/22/2019,2.39,3.0,1.0,25.0,,
41878,24130555,East Village Super Cute 3 bdr / sleeps up to 8,51880972715,verified,Alexandre,Manhattan,East Village,40.72734,-73.98389,United States,US,True,strict,Entire home/apt,2021.0,$350 ,$70 ,1.0,10.0,6/26/2019,3.75,4.0,5.0,97.0,"No smoking, no pets. No jumping on bed or couch.  Used toilet paper, paper towel , and sanitary napkins need to be disposed in trash can not in toilet. Thank you for  treating my home with respect .",
18843,11408325,"The best deal, really close to Times Square",9182584739,unconfirmed,Adam,Manhattan,Theater District,40.75863,-73.98812,United States,US,False,strict,Private room,2018.0,"$1,064 ",$213 ,1.0,163.0,6/19/2019,4.75,2.0,1.0,102.0,,
70680,40037900,1BR LUXURY PENTHOUSE MODERN CONDO,38886435145,unconfirmed,Elena,Manhattan,Financial District,40.70735,-74.00971,United States,US,True,strict,Entire home/apt,2005.0,$424 ,$85 ,5.0,18.0,10/13/2018,0.29,1.0,1.0,179.0,,
7228,4993360,Cozy room on Upper West Side,88811983922,unconfirmed,Lex,Manhattan,Upper West Side,40.78785,-73.97717,United States,US,True,strict,Private room,2016.0,$798 ,$160 ,1.0,15.0,9/4/2017,0.29,2.0,4.0,238.0,No smoking indoors,
41522,23933937,Unique 2 bedroom apt in the center of Williamsburg,85037526791,verified,Diego,Brooklyn,Williamsburg,40.71294,-73.96142,United States,US,False,flexible,Entire home/apt,2008.0,$94 ,$19 ,2.0,27.0,6/28/2019,5.91,5.0,1.0,188.0,"No smoking, no pets, no parties",
28804,16909785,Private Room C In Prime Location,28269839162,unconfirmed,Anna,Manhattan,Midtown,40.74535,-73.99023,United States,US,False,flexible,Private room,2006.0,$828 ,$166 ,1.0,140.0,6/23/2019,7.39,5.0,3.0,321.0,No Smoking No Pets No Parties,
27014,15921168,Gorgeous renovated Boutique townhouse apartment,64572679455,unconfirmed,Kimberley,Brooklyn,Bedford-Stuyvesant,40.68466,-73.92523,United States,US,True,flexible,Entire home/apt,2014.0,"$1,173 ",$235 ,4.0,31.0,6/17/2019,1.47,5.0,1.0,339.0," The property may be used only as a residence, not for any other purposes, commercial or otherwise (including filming).  You may not have packages sent to you during your stay.  Beacon Hill is a very quiet neighborhood, please keep the noise to a minimum and avoid playing loud music or making loud noises. If any noise complaints are received, I will assess a $100 fee from the deposit for each complaint.  If inviting anybody over, please keep daytime occupancy to five people maximum. NO unregistered overnight guests are allowed.  If you rearrange the furniture, please return everything to its original state before leaving.  If bringing pets, please ensure that they are potty trained.  Any pet stains left in the space will result in an additional $200 cleaning fee will be assessed from the deposit.  No smoking. If any smoking occurs in the space, I will assess a $300 fee from the deposit.  No illegal downloading. Do not use the internet to access, stream, or otherwise download any illega",
90806,51153490,The Paris Room. Énorme! Private ROOF access!,16675702063,verified,Tucker,Brooklyn,Bushwick,40.69102,-73.90526,United States,US,True,moderate,Private room,2016.0,$399 ,$80 ,2.0,38.0,6/22/2019,2.0,4.0,1.0,9.0,,
96808,54468394,Luxe Designed Home by Times Sq with a View,59458624342,verified,Remy,Manhattan,Theater District,40.75987,-73.986,United States,US,True,flexible,Entire home/apt,2010.0,"$1,018 ",$204 ,5.0,0.0,,,3.0,1.0,0.0,"1. Please turn off lights when not in use. 2. Please use trash cans in bedroom and bathroom to dispose of waste. The blue recycling bin in the hallway can be used for clean hard plastics, glass bottles and jars, paper, cans and tins. 3. No pets are permitted on guest visits. 4. No fires (candles, incense, etc) are permitted in the apartment. 5. No smoking or drug use is permitted in the apartment. 6. No unapproved visitors are permitted in the apartment; please let Sara know in advance if you expect anyone besides the booked guest(s) to be at the apartment during your visit. 7. Please be respectful of our neighbors in the building by avoiding loud music or noise, especially late at night and early in the morning. 8. If furniture or amenities are broken or missing after a guest check-out, or if extensive cleaning is required, reimbursement may be requested through Airbnb. 9. If you have problem, requests, issues, or concerns during your visit, please contact Sara directly. I will be gla",
63485,36064102,Spacious Studio near Chrysler Building,97333715890,unconfirmed,Stanley,Manhattan,Murray Hill,40.75013,-73.97602,United States,US,True,moderate,Entire home/apt,2022.0,$322 ,$64 ,30.0,1.0,10/2/2021,0.19,2.0,83.0,302.0,,
48254,27652020,Ridgewood Deal,92065929950,verified,Stephane,Queens,Ridgewood,40.70062,-73.90796,United States,US,True,moderate,Shared room,2018.0,"$1,100 ",$220 ,1.0,0.0,,,3.0,1.0,72.0,,
23298,13868821,Beautiful Bright bedroom with private bathroom,78372467061,unconfirmed,Julie,Brooklyn,Williamsburg,40.71173,-73.94417,United States,US,True,moderate,Private room,2004.0,$988 ,$198 ,5.0,13.0,6/16/2019,0.6,5.0,2.0,255.0,,
77543,43828335,"Luxury Private Room, Financial District (Flexible)",985995230,unconfirmed,Devin,Manhattan,Financial District,40.70858,-74.00599,United States,US,False,moderate,Private room,2022.0,$236 ,$47 ,13.0,0.0,,,1.0,1.0,0.0,,
60086,34186834,Bushwick’s cozy nook/Private Bathroom,37235716305,verified,Jose,Brooklyn,Bushwick,40.69284,-73.91872,United States,US,True,flexible,Private room,2014.0,$116 ,$23 ,3.0,85.0,12/28/2021,1.98,2.0,5.0,49.0,,
3768,3082402,Amazing 2BR/2Bath Loft in Brooklyn,55628374143,unconfirmed,Vida,Brooklyn,Greenpoint,40.72569,-73.94017,United States,US,False,moderate,Entire home/apt,2010.0,$650 ,$130 ,30.0,3.0,2/28/2019,0.06,3.0,52.0,382.0,,
9871,6453089,Private BR in Modern Apt @ LES,7876707134,verified,Joshua,Manhattan,Lower East Side,40.72028,-73.98182,United States,US,True,flexible,Private room,2014.0,$842 ,$168 ,3.0,1.0,4/27/2016,0.03,2.0,1.0,183.0,"1. You must be 25 years of age to rent this home and provide proof of age, if requested. 2. This is a non-smoking home. Any evidence of smoking in and around the property will result in forfeiture of your security deposit. 3. The home has a maximum occupancy of six people. Renters who exceed the occupancy limit and or falsify information at the time of reservation are subject to eviction. 4. Well-behaved dogs are allowed with written owner permission at time of booking, additional fee and security deposit required 5. House parties are strictly prohibited and are grounds for immediate eviction. 6. Illegal substances are strictly prohibited and are grounds for immediate eviction. 7. When you arrive, the home will be clean and we request that you leave it in good order. We will provide you with a detailed check-in and check-out procedures, as well as the code for the keyless entry lock, several days prior to your arrival. 8. Any exception to the rules here must be approved in writing in a",
47677,27333343,Brand new 1Bedroom apartment with private terrace,73826056209,verified,Kasper,Queens,Long Island City,40.75041,-73.93761,United States,US,True,strict,Entire home/apt,2022.0,$457 ,$91 ,7.0,1.0,6/23/2019,1.0,5.0,1.0,17.0,"Enjoy your stay in our home, simply be respectful of our neighbors, no smoking and no pet allowed.",
3009,2663207,Brooklyn Stunning Event Space.,37794081092,unconfirmed,Maurice,Brooklyn,Crown Heights,40.67247,-73.93616,United States,US,True,strict,Entire home/apt,2014.0,$895 ,$179 ,1.0,9.0,3/30/2019,0.25,3.0,3.0,32.0,"We ask that no alcohol or pork be brought into the home. Other than that, my home is your home. I simply ask that you please treat the home and its inhabitants with respect.",
54471,31085669,Spacious Queen/Queen Hotel Room,51777026133,verified,Michelle,Manhattan,Chelsea,40.74749,-73.99216,United States,US,True,moderate,Private room,2021.0,$673 ,$135 ,1.0,20.0,2/13/2022,1.56,5.0,50.0,28.0,,
61503,34969443,Gorgeous! Newly Renovated 2-BR Flat,17971504867,unconfirmed,AFI Apartments,Manhattan,Upper East Side,40.7713,-73.95753,United States,US,False,flexible,Entire home/apt,2018.0,$293 ,$59 ,30.0,4.0,12/10/2021,0.06,3.0,30.0,207.0,,
85112,48008694,Comfortable Hamilton Heights Apt,6881026402,verified,Michael,Manhattan,Harlem,40.83086,-73.94478,United States,US,True,flexible,Private room,2013.0,$285 ,$57 ,1.0,0.0,,,1.0,1.0,129.0,"Clean sheets and towels will be provided.  At end of stay sheets and towels must be stripped and left on the bed. You will find the kitchen spotless when you arrive, please leave it the way you found it.  This same courtesy goes for the rest of the unit as well.  It's a real gem, thank you for helping to minimize cleaning fees and to help the next guest to enjoy it as much as you will. The furniture will be changed on Sept 14th, but will still be nicely set up. Also new screens have been installed, to avoid bugs in the early fall its best to have the Windows or screens down.  One last item is that with notice I may need to stop by / in the unit.  This would only be during the daytime, for a short duration, and would have 24 hr notice.  Thanks.  ;)",
43000,24750236,In Times Square Cozy Shared Female Apt,26919348961,unconfirmed,Demir,Manhattan,Hell's Kitchen,40.76459,-73.9888,United States,US,True,strict,Shared room,2004.0,$509 ,$102 ,1.0,10.0,6/23/2019,2.91,2.0,3.0,358.0,"Absolutely no smoking in the building, handling of art work or damaging personal property. All additional charges for movie rental are the responsibility of the renter. Shower before entering the hot tub. No glass or food in the hot tub. Turn off all lights and appliances when leaving the unit.",
49997,28614679,♥️🏆🦜TwiceAsBetterHome Inn 1BR3GUESTS JFK7-LGA15 MIN,28220911058,unconfirmed,Better Home,Queens,Springfield Gardens,40.66353,-73.76727,United States,US,True,strict,Entire home/apt,2020.0,$331 ,$66 ,1.0,321.0,3/1/2022,8.27,2.0,3.0,347.0,,
100361,56430716,Airy 2-Bedroom Apt with Terrace in Spanish Harlem,41153883683,verified,Sarah,Manhattan,East Harlem,40.79952,-73.93764,United States,US,False,moderate,Entire home/apt,2008.0,$126 ,$25 ,3.0,4.0,9/3/2018,0.17,5.0,1.0,7.0,,
14309,8904197,"Modern Garden 2BD w/ Backyard, Dishwasher, Laundry",37646735586,verified,Kai,Brooklyn,Bedford-Stuyvesant,40.69155,-73.94975,United States,US,False,moderate,Entire home/apt,2009.0,$393 ,$79 ,4.0,123.0,6/23/2019,3.08,4.0,1.0,190.0,"- Please be respectful of the household, if you need anything, just ask.  - No smoking in unit. - No loud noises after 10PM.",
90866,51186628,"Wyndham Midtown: E 45th St., NYC",67560414197,unconfirmed,BNB-Resorts By RC,Manhattan,Midtown,40.75382,-73.97192,United States,US,True,strict,Entire home/apt,2011.0,$614 ,$123 ,3.0,4.0,11/7/2017,0.18,5.0,1.0,0.0,To keep house and house items in the same condition that they were when guests arrived,
73472,41579922,"Bookish apt near City College, Columbia University",61034883729,unconfirmed,Amy,Manhattan,Harlem,40.82197,-73.94948,United States,US,False,flexible,Entire home/apt,2012.0,$88 ,$18 ,30.0,0.0,,,4.0,1.0,0.0,,
45372,26060292,Spacious Greenpoint Loft,46378106290,verified,Sergio,Brooklyn,Greenpoint,40.73308,-73.95704,United States,US,True,strict,Entire home/apt,2017.0,$309 ,$62 ,3.0,0.0,,,2.0,1.0,0.0,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions, and the year-round tenants must be respected. There is no smoking allowed in the apartments and significant fees will apply if this rule is broken.",
10115,6587851,2 Bed apart in the heart of Chelsea,55165997237,verified,Rui,Manhattan,Chelsea,40.74313,-73.99844,United States,US,False,flexible,Entire home/apt,2013.0,$284 ,$57 ,3.0,2.0,3/12/2016,0.04,4.0,1.0,251.0,"NO PETS!  NO SMOKING ON PREMISES! NO PARTY! A printed house rule will be provided. Please be respectful to others when all rooms are booked. 10 AM Check-out and Check-in is between 12 PM (noon) - 3 PM.   Late check in after 8 pm is $50, lock out is $50. Respect yourself, Respect others, clean up after yourself.  No Smoking/drinking in apt.  Thank You! Location Rules: The ""Exact Address Location Is Not Disclosed For Security Reasons"" And Is Given Out 24 Hours Prior to Check-in.  If This Is a Problem for You, Please STOP Here And Contact Other Hosts for Your Stay.   This Is a Part Of My House Rules.",
1337,1739761,LARGE BEDROOM +PRIVATE BATHROOM,19507108978,verified,Helene,Brooklyn,Crown Heights,40.67649,-73.9435,United States,US,False,strict,Private room,2016.0,$801 ,$160 ,2.0,5.0,5/8/2017,0.08,1.0,4.0,22.0,#NAME?,
52062,29755179,"Hotel 32 32, King Deluxe",45823374250,verified,Hotel 32 32,Manhattan,Midtown,40.74715,-73.9846,United States,US,True,strict,Private room,2007.0,$506 ,$101 ,1.0,14.0,2/23/2022,0.9,2.0,11.0,293.0,,
58950,33559421,Your 2BR *haven* in Mott Haven mins from Manhattan,37229492738,unconfirmed,Elena,Bronx,Mott Haven,40.80991,-73.91211,United States,US,False,strict,Entire home/apt,2007.0,$226 ,$45 ,5.0,16.0,1/2/2022,0.6,3.0,1.0,160.0,,
70783,40094787,MIDTOWN EAST 1BR APARTMENT - NEW,34788987853,verified,Carlos,Manhattan,Midtown,40.75639,-73.96558,United States,US,False,strict,Entire home/apt,2017.0,$961 ,$192 ,1.0,78.0,6/22/2019,1.1,2.0,5.0,301.0,,
35553,20637258,The Library @ Guacamaya's Nest,21781246057,verified,Maya,Brooklyn,Crown Heights,40.67726,-73.94179,United States,US,True,flexible,Private room,2021.0,"$1,105 ",$221 ,3.0,24.0,6/29/2019,2.62,4.0,1.0,6.0,"Please expect to share the apartment with guests having various backgrounds. Be respectful and decent, also enjoy interacting with each other. Please dress descently in the house especially in and out of the shower.",
74667,42239920,"Newest,sunny,room with separate entrance & balcony",14756617184,unconfirmed,Sergii,Brooklyn,Brighton Beach,40.57921,-73.96419,United States,US,False,strict,Private room,2011.0,"$1,076 ",$215 ,1.0,18.0,6/20/2019,4.43,5.0,1.0,222.0,,
26274,15512466,MOST CENTRAL LOCATION,93301229889,unconfirmed,Lara,Manhattan,Hell's Kitchen,40.76888,-73.98639,United States,US,True,strict,Private room,2013.0,$663 ,$133 ,2.0,1.0,9/30/2018,0.11,4.0,3.0,316.0,100% smoke free. Quiet hours in this building are from 10pm-6am.  Garbage is collected by the city of Boston on Tuesday and Friday mornings and must be placed outside in designated area for pick up.,
15148,9367576,Holiday in 2br2ba Williamsburg Apt!,90113989540,verified,Peter,Brooklyn,Williamsburg,40.71697,-73.96204,United States,US,False,flexible,Entire home/apt,2018.0,$136 ,$27 ,1.0,16.0,6/27/2019,0.41,1.0,3.0,417.0,,
85723,48346149,New York Space,95446696821,verified,Trevor,Manhattan,Harlem,40.8242,-73.94777,United States,US,True,strict,Private room,2018.0,$456 ,$91 ,1.0,154.0,7/2/2019,4.03,1.0,1.0,386.0,"We expect that you treat our home as you would yours.  If you smoke, you can do so on the back porch. There is absolutely no smoking in the apartment. If you have a pet you are traveling with, please contact us, we can discuss a nice pet.",
73702,41706951,Queen Charlotte’s in B’klyn  (accommodation for 1),76853882538,verified,Leah,Brooklyn,East Flatbush,40.64016,-73.94057,United States,US,False,strict,Private room,2008.0,$313 ,$63 ,2.0,35.0,5/27/2019,2.22,2.0,4.0,296.0,,
28587,16789936,Cozy suite in a Townhouse,62790180102,verified,Desmond,Queens,Elmhurst,40.73491,-73.888,United States,US,True,flexible,Entire home/apt,2005.0,$797 ,$159 ,3.0,77.0,7/7/2019,4.05,2.0,2.0,22.0,"House Rules 1. Check-in is 4 pm local time. If the unit is ready earlier, we’ll let you know. Check-out is normally 11 am local time, but we’d be happy to extend it as long as we don’t have a cleaning scheduled. Just let us know.  2. All bookings require a security deposit of at least $300, which will be refunded within 7 days of your check-out. 3. For security measures we require all guests to provide proof of identification through ID verification on our own website. In order to check in we'll need a photo of your ID.  4. Our cancellation policy is as shown on our ad and defined by the site you are booking through.  5. Don’t let $300 go up in smoke. There's no smoking allowed in any Flatbook and a $300 fine for breaking this rule.  6. Unfortunately we don’t allow pets in any of our apartments. 7. Unless you’re staying in one of our specialty apartments, we don’t allow parties or excessive noise. 8. If we find the place very messy, we have to charge an extra $40 for every extra hour o",
52746,30132952,Cozy Ridgewood Apartment w/ Backyard,13118323805,verified,Lynn,Queens,Ridgewood,40.70863,-73.90773,United States,US,True,flexible,Entire home/apt,2013.0,$650 ,$130 ,4.0,26.0,2/20/2022,0.56,5.0,1.0,22.0,,
1429,1790573,Cozy E. Harlem Brownstone PH,14337990816,unconfirmed,Diego,Manhattan,East Harlem,40.79512,-73.93182,United States,US,False,flexible,Private room,2007.0,$639 ,$128 ,2.0,129.0,4/6/2019,1.56,4.0,2.0,211.0,No smoking No children under the age of 18 No animals No loud parties or people beyond those included in the reservation No late night check-ins,
47231,27087017,Manhattan Club Luxury Junior Suite - Best Location,86979152307,unconfirmed,Mara,Manhattan,Midtown,40.76553,-73.98148,United States,US,True,moderate,Private room,2014.0,$243 ,$49 ,1.0,0.0,,,4.0,5.0,353.0,,
98475,55389079,HK AUTHENTIC TENEMENT UPDATED,6029788482,unconfirmed,Joshua,Manhattan,Hell's Kitchen,40.76557,-73.99174,United States,US,True,flexible,Private room,2012.0,$162 ,$32 ,1.0,56.0,6/30/2019,5.81,3.0,1.0,4.0,"- Please keep the house exactly like you found it. Please don't leave a mess. Please don't leave things dirty. - If you use the bathroom, clean or wipe things down (there will be a cloth to wipe off excess water, etc.) - If you use the kitchen, please clean dishes and wipe things down as well - No guest allowed - you can meet friends at other venues - Shoes off in the apartment - please leave by the door. If you would like please bring some slippers. - Please keep things quiet after 10pm - If you smoke, you must go outside! NO smoking inside! - If you cook, turn the fan on above the stove - If you watch TV, turn it off when you are done. - Please use your common sense, and if you are not sure, ask... - Remember, this is my house - so try to treat it with respect. - if the parking pass is not returned, you will be charged the full amount of the deposit",
51900,29665706,Studio in Williamsburg⋆Kitchen⋆Private Garden,96633531426,unconfirmed,Emmanuel,Brooklyn,Williamsburg,40.7117,-73.94262,United States,US,True,flexible,Entire home/apt,2008.0,$731 ,$146 ,2.0,80.0,2/24/2022,3.56,5.0,5.0,272.0,,
95732,53874120,Family and Friends Peaceful Home,28764666268,verified,Marie,Brooklyn,Flatlands,40.62635,-73.93565,United States,US,False,strict,Private room,2022.0,$479 ,$96 ,3.0,0.0,,,2.0,1.0,90.0,"Please plan to check in after 4 PM and check out before 11AM.  No Smoking, No pets Please No parties and quiet hours after 9 pm Clean dishes   We are not responsible for your belongings. Thank You!",
11209,7192067,Perfect room in Williamsburg loft,85754159254,unconfirmed,Jacob,Brooklyn,Williamsburg,40.71358,-73.95906,United States,US,True,strict,Private room,2015.0,$729 ,$146 ,5.0,0.0,,,5.0,1.0,265.0,"My roommates and I take a lot of pride in keeping the house clean and tidy, particularly the common areas. If you plan on staying for more than a couple weeks, all the cleaning supplies under the kitchen sink and a vacuum are at your disposal :) No pets and no smoking please.",
43754,25166670,"3min to Grand Ave subway, newly built in 2015",79023290218,unconfirmed,Hiroki,Queens,Elmhurst,40.7387,-73.8771,United States,US,False,strict,Private room,2017.0,$815 ,$163 ,30.0,0.0,,,4.0,37.0,31.0,No shoes in the bedroom and in the bathroom please!,
7728,5269510,Delightful Lighthouse -Direct Train To JFK Airport,3758179311,verified,Hassan And Patti,Brooklyn,Bushwick,40.68638,-73.91368,United States,US,False,moderate,Private room,2014.0,$630 ,$126 ,2.0,148.0,6/27/2019,2.86,3.0,5.0,272.0,"Please plan to check in after 4 PM and check out before 11AM.  No Smoking, No pets Please No parties and quiet hours after 9 pm Clean dishes   We are not responsible for your belongings. Thank You!",
1694,1936932,Beautiful communal house Bushwick,672049071,unconfirmed,Kyla,Brooklyn,Bushwick,40.69254,-73.91092,United States,US,True,moderate,Private room,2011.0,$707 ,$141 ,2.0,77.0,6/2/2019,0.95,4.0,5.0,193.0,#NAME?,
88715,49998631,Cozy Convenience in Bushwick,11654446212,verified,Donna,Brooklyn,Bushwick,40.69078,-73.92167,United States,US,False,flexible,Private room,2020.0,$655 ,$131 ,1.0,109.0,6/30/2019,3.19,2.0,1.0,364.0,"Hello! You will be sharing the apartment in a private room with my roommate and our very friendly dog. Also, the door to the room is a curtain, not a full door, so it is less private. Please understand this situation before booking. We have had dozens of other guests who have all had a great time!",
64425,36583264,union square~Newly Reno~Sleeps 3,94091844396,verified,Eran,Manhattan,Gramercy,40.73323,-73.9828,United States,US,True,moderate,Entire home/apt,2005.0,$793 ,$159 ,30.0,9.0,8/17/2021,0.13,5.0,33.0,216.0,,
62965,35776906,Private room close to the Central Park,1825785883,verified,Eugene,Manhattan,Harlem,40.82782,-73.94818,United States,US,True,flexible,Private room,2015.0,"$1,006 ",$201 ,30.0,12.0,10/27/2021,0.33,3.0,1.0,0.0,,
100339,56418566,Spacious RM in Home with Backyard/Near Metro,20947183137,unconfirmed,Ciprian,Bronx,Fordham,40.86914,-73.8951,United States,US,False,flexible,Private room,2012.0,$515 ,$103 ,3.0,73.0,6/20/2019,2.79,3.0,4.0,69.0,,
54865,31303276,Heart of Manhattan Midtown!!(Herald Square),58173801539,verified,Jake,Manhattan,Midtown,40.74744,-73.98877,United States,US,True,moderate,Entire home/apt,2020.0,"$1,189 ",$238 ,1.0,61.0,2/11/2022,4.39,5.0,7.0,329.0,,
21143,12678615,Private bedroom,66614135615,unconfirmed,Anamaria & Ricardo,Manhattan,East Harlem,40.78805,-73.94924,United States,US,False,moderate,Private room,2004.0,$337 ,$67 ,6.0,2.0,1/1/2018,0.11,2.0,2.0,0.0,,
80327,45365938,Room with Unbeatable Manhattan Skyline View,95338297826,unconfirmed,Kaila,Brooklyn,Greenpoint,40.72463,-73.95227,United States,US,False,strict,Private room,2014.0,$88 ,$18 ,5.0,3.0,6/12/2018,0.13,2.0,1.0,0.0,,
58676,33408091,Apartment with all the comforts in Manhattan,27740730914,verified,Ariadna,Manhattan,Midtown,40.75676,-73.96252,United States,US,False,strict,Entire home/apt,2010.0,$713 ,$143 ,1.0,2.0,1/3/2022,0.78,4.0,1.0,1.0,,
39261,22685186,Flushing downtown luxury suite,33331704750,verified,Vicky,Queens,Flushing,40.74548,-73.8341,United States,US,True,strict,Private room,2022.0,$436 ,$87 ,1.0,10.0,7/7/2019,1.59,4.0,6.0,163.0,,
51944,29690007,Shoreham Hotel - Chic Studio in the heart of NYC!,39913791767,verified,Shoreham,Manhattan,Midtown,40.76344,-73.97523,United States,US,False,moderate,Entire home/apt,2019.0,$467 ,$93 ,1.0,12.0,2/24/2022,2.59,2.0,44.0,349.0,,
94857,53390857,"Beautiful, spacious & quiet!",34064065425,verified,Ana,Manhattan,Gramercy,40.73714,-73.98827,United States,US,False,strict,Entire home/apt,2010.0,$372 ,$74 ,4.0,2.0,8/6/2018,0.15,5.0,1.0,3.0,,
63330,35978495,Sunny and Bright Room,97756999734,unconfirmed,Claudina,Brooklyn,Bedford-Stuyvesant,40.69448,-73.93722,United States,US,False,flexible,Private room,2009.0,$409 ,$82 ,2.0,5.0,10/9/2021,0.15,2.0,4.0,363.0,,
44604,25636125,Sonder | The Biltmore | Bright 1BR + Workspace,55621282630,verified,Sonder (NYC),Manhattan,Theater District,40.76118,-73.98628,United States,US,True,strict,Entire home/apt,2008.0,$253 ,$51 ,29.0,0.0,,,5.0,327.0,343.0,"Our Herbivorian House manual with detailed rules and helpful information is present in each apartment.  The apartment must be left as clean as it was found, (especially the kitchen and bathroom) cleaning supplies are present in the apartment. (we are responsible for washing sheets and towels)  If you would rather not clean up after yourself please include an extra $100.00 for the cleaning Help. No loud or late night noises or parties. No additional guests No smoking. No red meat or strong smelling meats shall be cooked (the smell disturbs our primarily vegetarian guests) Pleasant behavior to all other building residents. Any questions assistance needed?.. please contact us, we are happy to help.",
79090,44682743,Coney Island Private Assembly  Special Events,20131458793,unconfirmed,Ed,Brooklyn,Coney Island,40.57577,-73.98553,United States,US,True,moderate,Entire home/apt,2011.0,$920 ,$184 ,1.0,5.0,6/23/2019,0.42,4.0,6.0,364.0,"No pets please - and no smoking in the apartment.  Other than that, we're flexible! We'll be here to answer any other questions you might have!",
1699,1939694,Room for rent in East Village,93672471674,verified,Sasha,Manhattan,East Village,40.72439,-73.97767,United States,US,True,moderate,Private room,2010.0,$244 ,$49 ,7.0,1.0,5/1/2016,0.03,3.0,1.0,215.0,#NAME?,
6239,4447136,"Beautiful, Spacious Room in Loft",68676352665,verified,Minka,Brooklyn,Greenpoint,40.73298,-73.95813,United States,US,True,flexible,Private room,2016.0,$755 ,$151 ,1.0,0.0,,,1.0,1.0,295.0,,
86330,48681395,Luxury Highrise 1bd -great views -central location,12025085627,verified,Mirza,Manhattan,Theater District,40.76318,-73.98473,United States,US,False,strict,Private room,2013.0,$338 ,$68 ,5.0,0.0,,,5.0,1.0,337.0,"Thank you for your reservation. By placing your reservation online you indicated that you accepted the terms and conditions which have been printed below.  Please review your reservation summary as below - then print, sign and return the agreement to:  (EMAIL HIDDEN) or fax it to (PHONE NUMBER HIDDEN) or  mail it to: Spare Suite, Inc., 119 Braintree Street, Suite 510, Boston, MA 02134, USA Upon receipt, we will send you the welcome document with check in instructions and how to get your keys. ------------------------------------------------------------------------ ------------------------------------------------------------------------ Terms of the Agreement: BOOKING AND REFUND POLICY Once booked your reservation is guaranteed for the check in and check out times and dates specified. All reservations must be paid in advance, in full for the entire period of stay.  All reservations are final, and NON REFUNDABLE UNDER ANY CIRCUMSTANCES.  If you feel you may need to cancel once booked, yo",
42507,24477952,Private room in Astoria... 20 min to the city.,4209897175,verified,Sherry,Queens,Ditmars Steinway,40.77253,-73.91476,United States,US,False,flexible,Private room,2013.0,$396 ,$79 ,7.0,3.0,6/21/2019,1.55,2.0,1.0,352.0,,
43662,25115859,Sunny Private Room close to Manhattan(Green),32305793891,unconfirmed,Jianren,Brooklyn,Bushwick,40.69682,-73.93067,United States,US,False,flexible,Private room,2009.0,$440 ,$88 ,2.0,8.0,7/5/2019,3.08,3.0,1.0,159.0,"House Rules Welcome to Boston-Furnished-Rentals. We respectfully request that you take care of all furniture, appliances, and all other belongings in our apartments. Pets are allowed only with prior approval. Please turn off all lights and appliances including the A/C and heat when you leave. We also ask that you follow our trash rules while staying with us. The efforts of all our guests allow us to pass on savings for everyone. We look forward to your visit and thanks for choosing Boston-Furnished-Rentals while enjoying Boston.",
87452,49301076,"Live, Love, Stay in the Bronx!",98243906106,verified,Vernise,Bronx,Allerton,40.86066,-73.85414,United States,US,True,strict,Private room,2012.0,"$1,195 ",$239 ,1.0,8.0,11/12/2018,0.23,1.0,1.0,280.0,#NAME?,
800,1443176,Amazing 1 bedroom apt with NYC View,3999153076,unconfirmed,Robinson,Manhattan,Chelsea,40.74494,-73.9998,United States,US,False,moderate,Entire home/apt,2021.0,"$1,081 ",$216 ,1.0,63.0,8/3/2018,0.71,5.0,1.0,278.0,No pets of any kind.  No loud noise after 11 PM.  ,
11471,7336769,Lovely 2 Bedroom Apartment. Perfect Getaway!,9536521023,unconfirmed,J,Manhattan,Hell's Kitchen,40.75994,-73.98812,United States,US,True,flexible,Entire home/apt,2022.0,$313 ,$63 ,2.0,103.0,6/21/2019,2.29,2.0,1.0,411.0,,
